ID;AvailabilityID;SaleReceiptID
1;61281;1
2;61338;1
3;61267;1
4;61312;1
5;61290;1
6;61277;1
7;18286;2
8;18281;2
9;18274;2
10;28770;3
11;28695;3
12;28737;3
13;28714;3
14;28718;3
15;28798;3
16;41348;4
17;41277;4
18;41369;4
19;41375;4
20;41289;4
21;41302;4
22;48253;5
23;48316;5
24;48294;5
25;17506;6
26;17566;6
27;17530;6
28;17477;6
29;17530;6
30;17534;6
31;34037;7
32;34030;7
33;34038;7
34;89478;8
35;89469;8
36;89482;8
37;89482;8
38;89467;8
39;89496;8
40;8784;9
41;83227;10
42;83255;10
43;17742;11
44;17746;11
45;75922;12
46;75914;12
47;4622;13
48;4744;13
49;4759;13
50;4731;13
51;4654;13
52;9153;14
53;9090;14
54;11694;15
55;11713;15
56;11704;15
57;69893;16
58;69847;16
59;69875;16
60;69918;16
61;69853;16
62;69841;16
63;69918;16
64;65651;17
65;60183;18
66;60200;18
67;60196;18
68;60198;18
69;60208;18
70;57981;19
71;57999;19
72;57982;19
73;57994;19
74;58002;19
75;53725;20
76;53768;20
77;39788;21
78;39788;21
79;75072;22
80;70493;23
81;2076;24
82;2074;24
83;9214;25
84;9210;25
85;9251;25
86;9268;25
87;9217;25
88;9274;25
89;9234;25
90;14052;26
91;92629;27
92;92642;27
93;92631;27
94;92629;27
95;92609;27
96;92631;27
97;92630;27
98;36006;28
99;36061;28
100;35980;28
101;36039;28
102;36009;28
103;36042;28
104;56219;29
105;56207;29
106;56162;29
107;56263;29
108;56287;29
109;56196;29
110;24424;30
111;24425;30
112;24425;30
113;24435;30
114;24440;30
115;24435;30
116;26906;31
117;26910;31
118;26923;31
119;26917;31
120;26917;31
121;67889;32
122;67847;32
123;67774;32
124;67890;32
125;67838;32
126;67832;32
127;3227;33
128;3246;33
129;3244;33
130;3189;33
131;3243;33
132;47942;34
133;47942;34
134;47942;34
135;48388;35
136;48429;35
137;48429;35
138;48429;35
139;48419;35
140;48432;35
141;84692;36
142;84657;36
143;84715;36
144;84810;36
145;84669;36
146;84688;36
147;8406;37
148;8391;37
149;8403;37
150;35462;38
151;35420;38
152;35407;38
153;35402;38
154;35405;38
155;35434;38
156;69464;39
157;69444;39
